Tiempo,Fuerza,Ataque,Salida,Verticalidad
19:53:29,36.1,0.0,-55.5,16.3
19:53:29,28.65,0.0,-20.8,12.6
19:53:29,17.26,9.1,0.0,1.4
19:53:29,10.74,78.0,0.0,-10.3
19:53:29,10.62,0.0,-28.0,12.1
19:53:29,14.61,0.0,-21.4,34.7
19:53:29,18.09,0.0,-42.3,3.4
19:53:30,25.52,0.0,-62.6,1.1
19:53:30,58.87,0.0,-71.1,13.3
19:53:30,75.26,0.0,-62.5,22.1
19:53:30,53.54,0.0,-58.5,16.0
19:53:30,38.11,0.0,-58.6,18.3
19:53:30,29.36,0.0,-24.5,4.2
19:53:30,19.08,0.0,-8.8,4.2
19:53:30,12.75,47.7,0.0,-1.7
19:53:30,10.57,72.6,0.0,16.0
19:53:30,13.39,0.0,-23.8,32.6
19:53:31,18.02,0.0,-4.7,84.1
19:53:31,20.64,0.0,-63.5,1.1
19:53:31,45.47,0.0,-64.8,0.4
19:53:31,77.87,0.0,-62.4,11.1
19:53:31,64.14,0.0,-74.6,5.7
19:53:31,43.13,0.0,-63.9,5.5
19:53:31,35.46,0.0,-37.2,2.7
19:53:31,24.42,0.0,-8.7,2.8
19:53:31,13.36,55.5,0.0,-4.5
19:53:31,9.6,0.0,-66.0,13.3
19:53:32,12.62,0.0,-12.0,28.3
19:53:32,17.54,11.7,0.0,75.4
19:53:32,19.62,0.0,-54.4,-2.3
19:53:32,39.37,0.0,-64.9,2.2
19:53:32,72.07,0.0,-69.6,14.3
19:53:32,64.29,0.0,-64.3,13.9
19:53:32,44.38,0.0,-62.4,4.4
19:53:32,36.13,0.0,-41.1,4.8
19:53:32,27.59,0.0,-16.2,3.9
19:53:33,16.94,33.5,0.0,0.1
19:53:33,10.34,0.0,-76.0,-7.0
19:53:33,11.09,0.0,-9.2,20.5
19:53:33,15.77,0.0,-30.2,34.4
19:53:33,17.77,0.0,-45.2,-5.0
19:53:33,28.13,0.0,-62.3,-1.6
19:53:33,64.67,0.0,-65.1,8.3
19:53:33,72.17,0.0,-66.9,13.2
19:53:33,50.77,0.0,-68.7,4.6
19:53:33,39.65,0.0,-48.0,6.9
19:53:33,30.78,0.0,-24.3,5.2
19:53:34,17.95,23.3,0.0,9.0
19:53:34,10.1,74.8,0.0,-6.3
19:53:34,10.63,0.0,-13.4,24.0
19:53:34,15.96,0.0,-19.0,36.5
19:53:34,17.75,0.0,-30.7,-6.1
19:53:34,21.31,0.0,-57.7,-4.1
19:53:34,49.59,0.0,-64.6,2.8
19:53:34,73.07,0.0,-56.6,12.6
19:53:34,57.06,0.0,-68.2,7.6
19:53:35,41.16,0.0,-73.0,0.1
19:53:35,33.03,0.0,-32.3,0.7
19:53:35,21.99,0.0,-13.0,3.6
19:53:35,13.04,44.5,0.0,2.7
19:53:35,10.0,0.0,-76.4,7.3
19:53:35,11.67,0.0,-14.9,29.0
19:53:35,16.25,0.0,-13.5,57.2
19:53:35,19.21,0.0,-64.8,-1.0
19:53:35,36.13,0.0,-61.7,-2.7
19:53:35,67.02,0.0,-62.9,11.4
19:53:36,64.21,0.0,-64.0,14.3
19:53:36,45.94,0.0,-85.2,0.9
19:53:36,36.78,0.0,-38.8,6.3
19:53:36,27.0,0.0,-15.6,3.2
19:53:36,15.46,41.3,0.0,7.8
19:53:36,8.71,0.0,-62.2,-26.7
19:53:36,9.36,0.0,-10.9,33.6
19:53:36,15.72,0.0,-18.8,53.3
19:53:36,18.96,0.0,-52.3,-4.0
19:53:36,31.56,0.0,-59.9,-6.0
19:53:37,65.36,0.0,-67.8,2.6
19:53:37,73.65,0.0,-64.9,7.2
19:53:37,53.35,0.0,-71.9,0.4
19:53:37,38.73,0.0,-63.2,1.9
19:53:37,28.42,0.0,-23.5,2.8
19:53:37,15.95,20.6,0.0,-2.3
19:53:37,9.77,65.7,0.0,-22.7
19:53:37,10.49,0.0,-15.5,24.4
19:53:37,15.76,0.0,-37.5,32.2
19:53:37,18.68,0.0,-47.3,-4.2
19:53:38,29.25,0.0,-55.1,-4.8
19:53:38,65.29,0.0,-67.8,6.1
19:53:38,73.48,0.0,-63.6,14.9
19:53:38,51.63,0.0,-58.4,10.9
19:53:38,39.15,0.0,-70.1,7.5
19:53:38,32.47,0.0,-21.9,8.2
19:53:38,20.37,1.6,0.0,5.6
19:53:38,11.63,70.7,0.0,0.8
19:53:38,9.91,0.0,-29.2,13.9
19:53:38,13.62,0.0,-22.3,32.1
19:53:39,18.27,0.0,-17.6,20.4
19:53:39,21.16,0.0,-56.7,-0.4
19:53:39,45.77,0.0,-67.0,4.0
19:53:39,71.26,0.0,-66.3,17.4
19:53:39,58.1,0.0,-67.7,15.5
19:53:39,41.46,0.0,-70.8,10.8
19:53:39,34.18,0.0,-33.5,6.3
19:53:39,23.02,0.0,-13.3,6.3
19:53:39,13.88,36.6,0.0,-4.9
19:53:39,10.29,73.0,0.0,-6.8
19:53:40,12.11,0.0,-16.3,28.8
19:53:40,16.53,0.0,-22.8,61.7
19:53:40,19.2,0.0,-54.5,-1.4
19:53:40,34.36,0.0,-58.2,-3.7
19:53:40,70.0,0.0,-68.6,8.1
19:53:40,72.08,0.0,-65.2,10.9
19:53:40,51.06,0.0,-62.4,2.5
19:53:40,39.75,0.0,-59.6,1.6
19:53:40,32.23,0.0,-28.5,5.5
19:53:40,21.45,0.8,0.0,0.2
19:53:41,12.04,64.9,0.0,-17.2
19:53:41,10.73,0.0,-29.8,17.6
19:53:41,15.62,0.0,-27.6,29.0
19:53:41,17.92,0.0,-25.4,6.5
19:53:41,23.37,0.0,-59.7,-4.6
19:53:41,53.54,0.0,-64.6,-1.2
19:53:41,75.91,0.0,-63.7,11.1
